Name_Num,AFFGEOID,GEOID,NAME,Municipality,Pittsburgh Neighborhood,Total Pop 2014-2018,White Pop Rate 2014-2018,Black Pop Rate 2014-2018,Asian Pop Rate 2014-2018,His or Lat Pop Rate 2014-2018,Family Poverty Rate 2014-2018,Rate of Single Mothers 2014-2018,Rate of those 25 and up without at least Bachelor's 2014-2018,Male unemployment/unattachment rate,Average 911 Dispatches for Shots Fired per 500,Median Home Value 2014-2018,Median Gross Rent 2014-2018,CNI Z-Score,Level of Need
4200,1400000US42003420000,42003420000,4200,Blawnox,N/A,1543,72.45625405,9.07323396,10.95268957,1.555411536,17.3,24.32432432,67,18.87254902,0.777705768,111800,724,0.178790376,Moderate Need
4211,1400000US42003421100,42003421100,4211,Ohara Twp,N/A,4599,83.64861927,1.391606871,10.78495325,1.804740161,1,2.55354201,37.5,16.10680448,0.41313329,248100,1477,-0.748918585,Very low Need
4212,1400000US42003421200,42003421200,4212,Ohara Twp,N/A,4169,89.92564164,0.551691053,6.308467258,2.134804509,3.1,10.01628664,42.3,12.51093613,0.599664188,231100,834,-0.610548733,Very low Need
4220,1400000US42003422000,42003422000,4220,Fox Chapel,N/A,5331,89.13899831,0,5.271056087,2.025886325,0.6,0,17.5,15.21394612,0.675295442,622600,-,-0.993316461,Very low Need
4230,1400000US42003423000,42003423000,4230,Aspinwall,N/A,2756,89.98548621,0,6.059506531,2.721335269,3.7,8.388814913,32.9,14.43708609,0.290275762,274000,1037,-0.700165794,Very low Need
4240,1400000US42003424000,42003424000,4240,Sharpsburg,N/A,3374,87.61114404,6.816834618,1.867219917,1.92649674,15.7,19.67403958,77.8,31.91489362,1.037344398,76500,762,0.415237809,Moderate Need
4250,1400000US42003425000,42003425000,4250,Etna,N/A,3388,90.49586777,0.85596222,4.6635183,2.479338843,5.3,12.35813367,76,25.11091393,0.796930342,87200,709,0.004740626,Moderate Need
4263,1400000US42003426300,42003426300,4263,Shaler Twp,N/A,6085,95.34921939,0.213640099,0.197206245,2.185702547,1.5,0.772626932,55.1,13.5678392,0.213640099,177200,1625,-0.640826194,Very low Need
4264,1400000US42003426400,42003426400,4264,Shaler Twp,N/A,4111,96.64315252,0.145949891,2.140598395,0,3.1,2.469135802,65.8,20.30456853,0.583799562,147300,767,-0.359706107,Low Need
4267,1400000US42003426700,42003426700,4267,Shaler Twp,N/A,2286,93.91951006,0.918635171,1.57480315,1.618547682,0,6.451612903,72.3,21.26760563,0.787401575,148000,861,-0.264152886,Low Need
